Approp Code,Agency,Agency Name,Div,Division Name,Appropriation Name,Appropriation,Fund Name,Fund,Fund Category Name,Appropriation Type,Capital Line, FY14 Actual Approp , FY14 Actual Expend , FY15 Actual Approp , FY15 Estimate Expend , FY16 Governors Proposed 
350-10-0716-49000000,350,Office Of The Secretary Of State,10,General Administrative Group,Grants for the Purpose of Organ and Tissue Donation Awareness,49000000,Organ Donor Awareness Fund,716,Special State Funds,New Appropriation,No,200000,188047,200000,200000,170000
350-10-0760-44000000,350,Office Of The Secretary Of State,10,General Administrative Group,Grants for Marine Corps Scholarships for Higher Education,44000000,Marine Corps Scholarship Fund,760,Special State Funds,New Appropriation,No,100000,100000,125000,125000,125000
350-10-0782-66000000,350,Office Of The Secretary Of State,10,General Administrative Group,Maintenance of State Parking Facilities,66000000,State Parking Facility Maintenance Fund,782,Special State Funds,New Appropriation,No,100000,75000,100000,100000,200000
350-10-0800-44000000,350,Office Of The Secretary Of State,10,General Administrative Group,Grants to the EMS Memorial Scholarship and Training Council to Provide Grants for the Training of EMS Personnel and Scholarships to Children and Spouses of EMS Personnel Killed in the Course of Employment,44000000,Illinois EMS Memorial Scholarship and Training Fund,800,Special State Funds,New Appropriation,No,5000,0,5000,5000,0
350-10-0803-44000000,350,Office Of The Secretary Of State,10,General Administrative Group,"Grants to the Teamsters Joint Council 25 Charitable Trust for Charitable, Scientific, Literary and Educational Purposes",44000000,International Brotherhood of Teamsters Fund,803,Special State Funds,New Appropriation,No,3000,0,35000,35000,35000
350-10-0854-44000000,350,Office Of The Secretary Of State,10,General Administrative Group,Grants to the League of Illinois Bicyclists for Educational Programs Instructing Bicyclists and Motorists How to Legally and More Safely Share the Roadways,44000000,Share the Road Fund,854,Special State Funds,New Appropriation,No,20000,20000,35000,35000,45000
350-10-0867-44000000,350,Office Of The Secretary Of State,10,General Administrative Group,Grants to the Illinois Fraternal Order of Police,44000000,Fraternal Order of Police Fund,867,Special State Funds,New Appropriation,No,20000,20000,20000,20000,15000
350-10-0895-44000000,350,Office Of The Secretary Of State,10,General Administrative Group,Grants to Illinois Soil and Water Conservation Districts for Projects that Conserve and Restore Soil and Water in Illinois,44000000,Soil and Water Conservation District Fund,895,Special State Funds,New Appropriation,No,0,0,400,400,0
350-10-0899-44000000,350,Office Of The Secretary Of State,10,General Administrative Group,Grants to St. Jude Children's Research Hospital for Pediatric Treatment and Research,44000000,St. Jude Children's Research Fund,899,Special State Funds,New Appropriation,No,4000,0,0,0,3500
350-10-0915-44000000,350,Office Of The Secretary Of State,10,General Administrative Group,Grants to the Illinois 4-H Foundation for the Purpose of Funding 4-H Programs,44000000,4-H Fund,915,Special State Funds,New Appropriation,No,8000,7575,0,0,0
350-10-0918-44000000,350,Office Of The Secretary Of State,10,General Administrative Group,"Grants to Ducks Unlimited, Inc. to Fund Various Projects",44000000,Ducks Unlimited Fund,918,Special State Funds,New Appropriation,No,40000,40000,10000,10000,10000
350-10-0948-19000000,350,Office Of The Secretary Of State,10,General Administrative Group,Expenses in Accordance with Grant Agreements,19000000,Secretary of State's Grant Fund,948,Special State Funds,New Appropriation,No,500000,71005.83,500000,500000,300000
350-10-0971-44000010,350,Office Of The Secretary Of State,10,General Administrative Group,Statewide - Grants to Public Libraries for Permanent Improvements,44000010,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,49780402,14424982.06,35355420,30705710,4649710
350-51-0001-11200000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Personal Services,11200000,General Revenue Fund,1,General Funds,New Appropriation,No,116846800,116225008.6,115533400,115533400,103980100
350-51-0001-11290000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,State Paid Retirement,11290000,General Revenue Fund,1,General Funds,New Appropriation,No,2511400,2476672.43,2483700,2483700,2235300
350-51-0001-11300000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Personal Services,11300000,General Revenue Fund,1,General Funds,New Appropriation,No,6066226,6066164.58,7079400,7079400,6371500
350-51-0001-11700000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Social Security,11700000,General Revenue Fund,1,General Funds,New Appropriation,No,8823900,8735837.68,9027900,9027900,8125100
350-51-0001-12000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Contractual Services,12000000,General Revenue Fund,1,General Funds,New Appropriation,No,14231927,14169735.03,13870200,13870200,12483200
350-51-0001-12900000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Travel,12900000,General Revenue Fund,1,General Funds,New Appropriation,No,249698,248008.81,261480,261480,235300
350-51-0001-13000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Commodities,13000000,General Revenue Fund,1,General Funds,New Appropriation,No,286139,283807.68,220500,220500,198500
350-51-0001-13020000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Printing,13020000,General Revenue Fund,1,General Funds,New Appropriation,No,1169587,1137925.45,1220000,1220000,1098000
350-51-0001-15000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Equipment,15000000,General Revenue Fund,1,General Funds,New Appropriation,No,770697,765927.71,400000,400000,360000
350-51-0001-17000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Telecommunications,17000000,General Revenue Fund,1,General Funds,New Appropriation,No,1511012,1508281.67,1435100,1435100,1291600
350-51-0001-18000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Operation Of Auto Equipment,18000000,General Revenue Fund,1,General Funds,New Appropriation,No,510175,492028.02,568000,568000,511200
350-51-0001-69000100,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Capitol Complex Security,69000100,General Revenue Fund,1,General Funds,New Appropriation,No,3200000,3057960.84,3700000,3700000,3330000
350-51-0109-12000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Contractual Services,12000000,CDLIS/AAMVAnet/NMVTIS Trust Fund,109,Special State Funds,New Appropriation,No,800000,645674.16,1300000,1300000,2800000
350-51-0109-15000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Equipment,15000000,CDLIS/AAMVAnet/NMVTIS Trust Fund,109,Special State Funds,New Appropriation,No,100000,0,1600000,1600000,100000
350-51-0176-19000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Federal Projects,19000000,Secretary of State Federal Projects Fund,176,Federal Trust Funds,New Appropriation,No,700000,52325.6,700000,700000,500000
350-51-0182-19000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Temporary Visitor's Driver's Licenses,19000000,Driver Services Administration Fund,182,Special State Funds,New Appropriation,No,1000000,0,3600000,3600000,2600000
350-51-0185-11200000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Personal Services,11200000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,780200,468082.4,790600,790600,799200
350-51-0185-11290000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,State Paid Retirement,11290000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,15600,9365.79,15800,15800,16000
350-51-0185-11610000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Retirement,11610000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,314500,188786.66,334700,334700,364400
350-51-0185-11700000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Social Security,11700000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,60000,35375.26,61200,61200,61400
350-51-0185-11800000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Group Insurance,11800000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,399500,220394.95,391000,391000,355000
350-51-0185-12000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Contractual Services,12000000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,679500,640235.79,643000,643000,643000
350-51-0185-12900000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Travel,12900000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,13500,13488.01,13500,13500,13500
350-51-0185-13000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Commodities,13000000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,1000000,999998.19,1000000,1000000,1000000
350-51-0185-13020000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Printing,13020000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,2279400,903450,2292400,2292400,1700000
350-51-0185-15000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Equipment,15000000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,107800,0,107800,107800,107800
350-51-0185-17000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Telecommunications,17000000,Secretary of State Special License Plate Fund,185,Special State Funds,New Appropriation,No,300000,299998.49,300000,300000,300000
350-51-0323-11200000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Personal Services,11200000,Motor Vehicle Review Board Fund,323,Special State Funds,New Appropriation,No,145000,96667.52,145000,145000,145000
350-51-0323-11290000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,State Paid Retirement,11290000,Motor Vehicle Review Board Fund,323,Special State Funds,New Appropriation,No,2900,1932.64,2900,2900,2900
350-51-0323-11610000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Retirement,11610000,Motor Vehicle Review Board Fund,323,Special State Funds,New Appropriation,No,58500,38969.12,61400,61400,66100
350-51-0323-11700000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Social Security,11700000,Motor Vehicle Review Board Fund,323,Special State Funds,New Appropriation,No,11100,7394.88,11100,11100,11100
350-51-0323-12000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Contractual Services,12000000,Motor Vehicle Review Board Fund,323,Special State Funds,New Appropriation,No,45300,27000,44700,44700,35000
350-51-0323-13000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Commodities,13000000,Motor Vehicle Review Board Fund,323,Special State Funds,New Appropriation,No,100,0,0,0,0
350-51-0323-13020000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Printing,13020000,Motor Vehicle Review Board Fund,323,Special State Funds,New Appropriation,No,2400,0,0,0,0
350-51-0323-17000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Telecommunications,17000000,Motor Vehicle Review Board Fund,323,Special State Funds,New Appropriation,No,600,402.25,600,600,600
350-51-0374-19000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Purchase of Evidence,19000000,Secretary of State Evidence Fund,374,Special State Funds,New Appropriation,No,5000,4788.93,5000,5000,5000
350-51-0422-19100000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Alternate Fuels Fund,19100000,Alternate Fuels Fund,422,Special State Funds,New Appropriation,No,225000,225000,225000,225000,225000
350-51-0451-19000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Reimburse Ignition Interlock Device Providers,19000000,Indigent BAIID Fund,451,Special State Funds,New Appropriation,No,500000,144067.6,300000,300000,250000
350-51-0453-19000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Costs Associated with Administering Monitoring Device Driving Permits Per Public Act 95-0400,19000000,Monitoring Device Driving Permit Administration Fee Fund,453,Special State Funds,New Appropriation,No,3000000,1122304.78,2500000,2500000,2350000
350-51-0480-19000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,REAL ID,19000000,Secretary of State Identification Security and Theft Prevention Fund,480,Special State Funds,New Appropriation,No,7000000,2804409.62,10000000,10000000,13500000
350-51-0622-19100000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Costs to Provide New or Replacement License Plates for Motor Vehicles,19100000,Motor Vehicle License Plate Fund,622,Special State Funds,New Appropriation,No,14386300,11779466.39,14386300,14386300,14640000
350-51-0732-19100000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Secretary of State DUI Administration,19100000,Secretary of State DUI Administration Fund,732,Special State Funds,New Appropriation,No,2500000,1942338.78,2500000,2500000,2500000
350-51-0758-19100000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Expenses Related to DUI Enforcement,19100000,Secretary of State Police DUI Fund,758,Special State Funds,New Appropriation,No,30000,3643,30000,30000,30000
350-51-0759-19000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Secretary of State Police Services,19000000,Secretary of State Police Services Fund,759,Special State Funds,New Appropriation,No,600000,442326.54,800000,800000,700000
350-51-0963-11200000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Personal Services,11200000,Vehicle Inspection Fund,963,Special State Funds,New Appropriation,No,1492200,1066873.01,1242600,1242600,1263600
350-51-0963-11290000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,State Paid Retirement,11290000,Vehicle Inspection Fund,963,Special State Funds,New Appropriation,No,30300,22062.58,25700,25700,26100
350-51-0963-11300000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Personal Services,11300000,Vehicle Inspection Fund,963,Special State Funds,New Appropriation,No,46700,35854.02,42700,42700,42700
350-51-0963-11610000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Retirement,11610000,Vehicle Inspection Fund,963,Special State Funds,New Appropriation,No,620400,444709.29,544200,544200,595600
350-51-0963-11700000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Social Security,11700000,Vehicle Inspection Fund,963,Special State Funds,New Appropriation,No,114000,85921.16,102700,102700,104800
350-51-0963-11800000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Group Insurance,11800000,Vehicle Inspection Fund,963,Special State Funds,New Appropriation,No,670900,460344.62,700600,700600,543100
350-51-0963-12000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Contractual Services,12000000,Vehicle Inspection Fund,963,Special State Funds,New Appropriation,No,1080700,929728.57,1030700,1030700,945700
350-51-0963-13000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Commodities,13000000,Vehicle Inspection Fund,963,Special State Funds,New Appropriation,No,25000,23322.65,25000,25000,25000
350-51-0963-17000000,350,Office Of The Secretary Of State,51,Motor Vehicle Group,Telecommunications,17000000,Vehicle Inspection Fund,963,Special State Funds,New Appropriation,No,30000,20297.58,30000,30000,30000
360-01-0001-11200000,360,Office Of The State Comptroller,1,Administration,Personal Services,11200000,General Revenue Fund,1,General Funds,New Appropriation,No,15050000,14766829.49,15050000,15050000,13545000
360-01-0001-11700000,360,Office Of The State Comptroller,1,Administration,Social Security,11700000,General Revenue Fund,1,General Funds,New Appropriation,No,1166000,1165981.72,1149000,1149000,1034100
360-01-0001-12000000,360,Office Of The State Comptroller,1,Administration,Contractual Services,12000000,General Revenue Fund,1,General Funds,New Appropriation,No,4665500,4420278.5,4682500,4682500,4214300
360-01-0001-12000100,360,Office Of The State Comptroller,1,Administration,Contractual Services,12000100,General Revenue Fund,1,General Funds,New Appropriation,No,25000,0,25000,25000,22500
360-01-0001-12900000,360,Office Of The State Comptroller,1,Administration,Travel,12900000,General Revenue Fund,1,General Funds,New Appropriation,No,128100,23476.12,128100,128100,115300
360-01-0001-13000000,360,Office Of The State Comptroller,1,Administration,Commodities,13000000,General Revenue Fund,1,General Funds,New Appropriation,No,225000,53501.12,225000,225000,202500
360-01-0001-13020000,360,Office Of The State Comptroller,1,Administration,Printing,13020000,General Revenue Fund,1,General Funds,New Appropriation,No,345000,50817.75,345000,345000,310500
360-01-0001-15000000,360,Office Of The State Comptroller,1,Administration,Equipment,15000000,General Revenue Fund,1,General Funds,New Appropriation,No,12800,11757.63,12800,12800,11500
360-01-0001-16000000,360,Office Of The State Comptroller,1,Administration,Electronic Data Processing,16000000,General Revenue Fund,1,General Funds,New Appropriation,No,1695000,964598.91,1695000,1695000,1525500
360-01-0001-17000000,360,Office Of The State Comptroller,1,Administration,Telecommunications,17000000,General Revenue Fund,1,General Funds,New Appropriation,No,269000,266584.41,241000,241000,216900
360-01-0001-18000000,360,Office Of The State Comptroller,1,Administration,Operation Of Auto Equipment,18000000,General Revenue Fund,1,General Funds,New Appropriation,No,8900,8411.66,8900,8900,8000
360-01-0001-19000000,360,Office Of The State Comptroller,1,Administration,Pension Bill,19000000,General Revenue Fund,1,General Funds,New Appropriation,No,103000,27232.31,103000,103000,92700
360-01-0001-19100000,360,Office Of The State Comptroller,1,Administration,Expenses of Local Government Officials Training,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,12500,0,12500,12500,11300
360-01-0001-19100100,360,Office Of The State Comptroller,1,Administration,Comprehensive Annual Financial Reporting (CAFR) Preparation Support,19100100,General Revenue Fund,1,General Funds,New Appropriation,No,200000,49256.41,200000,200000,180000
360-01-0001-19930000,360,Office Of The State Comptroller,1,Administration,FY13/14 Backlog Fund Deposit,19930000,General Revenue Fund,1,General Funds,New Appropriation,No,50000000,50000000,0,0,0
360-01-0543-19000000,360,Office Of The State Comptroller,1,Administration,Expenses Associated with the Discharge of Duties of the Office of State Comptroller Pursuant to PA 89-0511,19000000,Comptroller's Administrative Fund,543,Special State Funds,New Appropriation,No,1500000,790784.51,1500000,1500000,1500000
360-05-0001-19100000,360,Office Of The State Comptroller,5,Merit Commission,Merit Commission Expenses,19100000,General Revenue Fund,1,General Funds,New Appropriation,No,93000,61072.43,93000,93000,83700
360-10-0001-19000000,360,Office Of The State Comptroller,10,Inspector General,Ordinary and Contingent Expenses for the Office of Inspector General,19000000,General Revenue Fund,1,General Funds,New Appropriation,No,70000,20056.01,70000,70000,63000
360-12-0711-19100000,360,Office Of The State Comptroller,12,Statewide Fiscal Operations,Expenses in Connection with the State Lottery,19100000,State Lottery Fund,711,Special State Funds,New Appropriation,No,50300,50300,50300,50300,50300
360-20-0001-11110000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11110000,General Revenue Fund,1,General Funds,New Appropriation,No,7766100,7647401.62,7766100,7766100,7766100
360-20-0001-11110100,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11110100,General Revenue Fund,1,General Funds,New Appropriation,No,3947800,3818307.72,3947800,3947800,3947800
360-20-0001-11110200,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11110200,General Revenue Fund,1,General Funds,New Appropriation,No,2138800,1530197.62,2138800,2138800,2138800
360-20-0001-11110300,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11110300,General Revenue Fund,1,General Funds,New Appropriation,No,400000,327339,400000,400000,400000
360-20-0001-11110400,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11110400,General Revenue Fund,1,General Funds,New Appropriation,No,800000,687756,800000,800000,800000
360-20-0001-11110500,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11110500,General Revenue Fund,1,General Funds,New Appropriation,No,272300,213584.76,272300,272300,272300
360-20-0001-11130000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11130000,General Revenue Fund,1,General Funds,New Appropriation,No,897800,897500.88,897800,897800,897800
360-20-0001-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,General Revenue Fund,1,General Funds,New Appropriation,No,10096300,9429786.1,10096400,10096400,10096400
360-20-0001-11201000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11201000,General Revenue Fund,1,General Funds,New Appropriation,No,579400,545764.8,579400,579400,579400
360-20-0001-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,General Revenue Fund,1,General Funds,New Appropriation,No,1167500,988152.02,1167500,1167500,1167500
360-20-0001-12900000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Travel,12900000,General Revenue Fund,1,General Funds,New Appropriation,No,450000,352640.38,450000,450000,405000
360-20-0001-19000000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Contingencies in Case Appropriations for State Officer or General Assembly Expenses are Insufficient,19000000,General Revenue Fund,1,General Funds,New Appropriation,No,1578394,0,1603000,1603000,1442700
360-20-0011-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,Road Fund,11,Highway Funds,New Appropriation,No,278100,150228,278100,278100,278100
360-20-0011-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,Road Fund,11,Highway Funds,New Appropriation,No,112150,60656.88,117700,117700,117700
360-20-0011-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,Road Fund,11,Highway Funds,New Appropriation,No,21300,9109.95,18600,18600,18600
360-20-0011-11800000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Group Insurance,11800000,Road Fund,11,Highway Funds,New Appropriation,No,46000,21580.32,46000,46000,46000
360-20-0047-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,Fire Prevention Fund,47,Special State Funds,New Appropriation,No,115700,115612.92,115700,115700,115700
360-20-0047-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,Fire Prevention Fund,47,Special State Funds,New Appropriation,No,47010,47009.4,49000,49000,49000
360-20-0047-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,Fire Prevention Fund,47,Special State Funds,New Appropriation,No,8647,8646.73,8900,8900,8900
360-20-0047-11800000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Group Insurance,11800000,Fire Prevention Fund,47,Special State Funds,New Appropriation,No,23000,17349.6,23000,23000,23000
360-20-0052-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,Title III Social Security and Employment Fund,52,Federal Trust Funds,New Appropriation,No,217200,213694.93,217400,217400,217400
360-20-0052-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,Title III Social Security and Employment Fund,52,Federal Trust Funds,New Appropriation,No,83100,72771.36,92100,92100,92100
360-20-0052-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,Title III Social Security and Employment Fund,52,Federal Trust Funds,New Appropriation,No,14700,14104.62,15100,15100,15100
360-20-0052-11800000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Group Insurance,11800000,Title III Social Security and Employment Fund,52,Federal Trust Funds,New Appropriation,No,138000,50592.48,23000,23000,23000
360-20-0067-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,Radiation Protection Fund,67,Special State Funds,New Appropriation,No,115700,115612.92,115700,115700,115700
360-20-0067-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,Radiation Protection Fund,67,Special State Funds,New Appropriation,No,47010,47009.4,49000,49000,49000
360-20-0067-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,Radiation Protection Fund,67,Special State Funds,New Appropriation,No,8900,8767.95,8900,8900,8900
360-20-0067-11800000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Group Insurance,11800000,Radiation Protection Fund,67,Special State Funds,New Appropriation,No,23000,1581.38,23000,23000,23000
360-20-0147-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,Coal Mining Regulatory Fund,147,Special State Funds,New Appropriation,No,145700,145530,145700,145700,145700
360-20-0147-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,Coal Mining Regulatory Fund,147,Special State Funds,New Appropriation,No,0,0,61700,61700,61700
360-20-0147-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,Coal Mining Regulatory Fund,147,Special State Funds,New Appropriation,No,11150,10532.42,11200,11200,11200
360-20-0147-11800000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Group Insurance,11800000,Coal Mining Regulatory Fund,147,Special State Funds,New Appropriation,No,0,0,184000,184000,184000
360-20-0163-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,Weights and Measures Fund,163,Special State Funds,New Appropriation,No,246500,133272.96,246500,246500,246500
360-20-0163-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,Weights and Measures Fund,163,Special State Funds,New Appropriation,No,99400,53878.8,104400,104400,104400
360-20-0163-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,Weights and Measures Fund,163,Special State Funds,New Appropriation,No,18900,8812.74,17900,17900,17900
360-20-0163-11800000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Group Insurance,11800000,Weights and Measures Fund,163,Special State Funds,New Appropriation,No,46000,17349.6,46000,46000,46000
360-20-0218-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,Professions Indirect Cost Fund,218,Special State Funds,New Appropriation,No,374900,374783.88,374900,374900,374900
360-20-0218-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,Professions Indirect Cost Fund,218,Special State Funds,New Appropriation,No,151288,151287.86,158700,158700,158700
360-20-0218-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,Professions Indirect Cost Fund,218,Special State Funds,New Appropriation,No,28612,26267.12,27200,27200,27200
360-20-0218-11800000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Group Insurance,11800000,Professions Indirect Cost Fund,218,Special State Funds,New Appropriation,No,69000,55169.76,69000,69000,69000
360-20-0220-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,DCFS Children's Services Fund,220,Special State Funds,New Appropriation,No,162644,150296.38,150300,150300,150300
360-20-0220-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,DCFS Children's Services Fund,220,Special State Funds,New Appropriation,No,62373,62372.67,63700,63700,63700
360-20-0220-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,DCFS Children's Services Fund,220,Special State Funds,New Appropriation,No,11500,9081.76,9500,9500,9500
360-20-0220-11800000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Group Insurance,11800000,DCFS Children's Services Fund,220,Special State Funds,New Appropriation,No,23000,17472.64,23000,23000,23000
360-20-0425-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,Illinois Power Agency Operations Fund,425,Special State Funds,New Appropriation,No,103800,103800,103800,103800,103800
360-20-0425-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,Illinois Power Agency Operations Fund,425,Special State Funds,New Appropriation,No,41900,41869.8,44000,44000,44000
360-20-0425-11700000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Social Security,11700000,Illinois Power Agency Operations Fund,425,Special State Funds,New Appropriation,No,7950,7555.13,8000,8000,8000
360-20-0425-11800000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Group Insurance,11800000,Illinois Power Agency Operations Fund,425,Special State Funds,New Appropriation,No,26226,26225.76,23000,23000,23000
360-20-0534-11150000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Personal Services,11150000,Illinois Workers' Compensation Commission Operations Fund,534,Special State Funds,New Appropriation,No,1203900,1125402.54,1203900,1203900,1203900
360-20-0534-11610000,360,Office Of The State Comptroller,20,State Officers' Salaries And Other Expenditures,Retirement,11610000,Illinois Workers' Compensation Commission Operations Fund,534,Special State Funds,New Appropriation,No,485350,455607.64,509700,509700,509700
